Timestamp,ActiveRequests,EventLoopLag_ms,PoolSize
2026-02-05T18:26:15.457Z,3,20.31,0
2026-02-05T18:26:15.507Z,3,20.46,0
2026-02-05T18:26:15.558Z,2,20.19,0
2026-02-05T18:26:15.608Z,2,20.32,0
2026-02-05T18:26:15.659Z,2,20.57,0
2026-02-05T18:26:15.710Z,2,20.31,0
2026-02-05T18:26:15.761Z,2,19.67,0
2026-02-05T18:26:15.811Z,2,20.35,0
2026-02-05T18:26:15.862Z,2,20.34,0
2026-02-05T18:26:15.912Z,1,20.46,0
2026-02-05T18:26:15.962Z,1,20.31,0
2026-02-05T18:26:16.012Z,1,19.96,0
2026-02-05T18:26:16.063Z,1,20.50,0
2026-02-05T18:26:16.112Z,1,20.83,0
2026-02-05T18:26:16.163Z,1,20.39,0
2026-02-05T18:26:16.213Z,1,20.49,0
2026-02-05T18:26:16.264Z,1,20.39,0
2026-02-05T18:26:16.314Z,1,20.51,0
2026-02-05T18:26:16.364Z,1,20.26,0
2026-02-05T18:26:16.415Z,1,20.62,0
2026-02-05T18:26:16.466Z,1,20.52,0
2026-02-05T18:26:16.516Z,1,20.46,0
2026-02-05T18:26:16.686Z,1,84.17,0
2026-02-05T18:26:16.792Z,1,NaN,0
2026-02-05T18:26:16.876Z,2,NaN,0
2026-02-05T18:26:17.705Z,0,243.07,0
2026-02-05T18:26:18.686Z,1,182.12,0
2026-02-05T18:26:18.889Z,1,20.36,0
2026-02-05T18:26:19.143Z,1,20.36,0
2026-02-05T18:26:19.297Z,1,20.42,0
2026-02-05T18:26:19.346Z,1,19.92,0
2026-02-05T18:26:19.397Z,1,20.42,0
2026-02-05T18:26:19.448Z,1,19.85,0
2026-02-05T18:26:19.498Z,1,20.41,0
2026-02-05T18:26:19.547Z,1,20.15,0
2026-02-05T18:26:19.597Z,1,20.11,0
2026-02-05T18:26:19.648Z,1,20.39,0
2026-02-05T18:26:19.698Z,2,20.19,0
2026-02-05T18:26:19.748Z,3,20.42,0
2026-02-05T18:26:19.799Z,3,20.31,0
2026-02-05T18:26:19.849Z,3,20.32,0
2026-02-05T18:26:19.899Z,3,20.46,0
2026-02-05T18:26:20.007Z,3,50.97,0
2026-02-05T18:26:20.187Z,3,NaN,0
2026-02-05T18:26:20.237Z,3,20.26,0
2026-02-05T18:26:20.287Z,3,20.37,0
2026-02-05T18:26:20.397Z,4,109.67,0
2026-02-05T18:26:20.448Z,3,20.39,0
2026-02-05T18:26:20.499Z,3,20.30,0
2026-02-05T18:26:20.549Z,3,20.37,0
2026-02-05T18:26:20.599Z,3,20.42,0
2026-02-05T18:26:20.650Z,3,20.29,0
2026-02-05T18:26:20.701Z,3,20.31,0
2026-02-05T18:26:20.813Z,3,111.77,0
2026-02-05T18:26:20.864Z,4,20.18,0
2026-02-05T18:26:20.914Z,4,20.18,0
2026-02-05T18:26:20.965Z,4,20.55,0
2026-02-05T18:26:21.015Z,4,20.41,0
2026-02-05T18:26:21.066Z,4,20.34,0
2026-02-05T18:26:21.117Z,3,20.37,0
2026-02-05T18:26:21.167Z,3,20.41,0
2026-02-05T18:26:21.217Z,3,20.57,0
2026-02-05T18:26:21.268Z,3,20.42,0
2026-02-05T18:26:21.318Z,3,20.36,0
2026-02-05T18:26:21.368Z,3,20.35,0
2026-02-05T18:26:21.418Z,3,19.67,0
2026-02-05T18:26:21.469Z,3,20.13,0
2026-02-05T18:26:21.519Z,3,20.37,0
2026-02-05T18:26:21.569Z,3,20.46,0
2026-02-05T18:26:21.620Z,3,20.16,0
2026-02-05T18:26:21.670Z,3,20.28,0
2026-02-05T18:26:21.721Z,2,19.95,0
2026-02-05T18:26:21.771Z,1,20.31,0
2026-02-05T18:26:21.821Z,1,20.14,0
2026-02-05T18:26:21.872Z,1,20.47,0
2026-02-05T18:26:21.922Z,2,20.67,0
2026-02-05T18:26:21.973Z,2,20.28,0
2026-02-05T18:26:22.023Z,2,20.59,0
2026-02-05T18:26:22.073Z,2,20.30,0
2026-02-05T18:26:22.123Z,2,20.64,0
2026-02-05T18:26:22.174Z,2,20.29,0
2026-02-05T18:26:22.224Z,2,19.61,0
2026-02-05T18:26:22.274Z,2,20.43,0
2026-02-05T18:26:22.324Z,3,20.73,0
2026-02-05T18:26:22.374Z,3,20.29,0
2026-02-05T18:26:22.496Z,4,59.54,0
2026-02-05T18:26:22.546Z,3,20.46,0
2026-02-05T18:26:22.596Z,3,20.52,0
2026-02-05T18:26:22.647Z,3,20.03,0
2026-02-05T18:26:22.698Z,4,20.41,0
2026-02-05T18:26:22.748Z,3,19.85,0
2026-02-05T18:26:22.799Z,3,20.59,0
2026-02-05T18:26:22.898Z,2,79.59,0
2026-02-05T18:26:23.082Z,2,NaN,0
2026-02-05T18:26:23.133Z,3,20.42,0
2026-02-05T18:26:23.184Z,3,20.39,0
2026-02-05T18:26:23.235Z,3,20.27,0
2026-02-05T18:26:23.285Z,3,20.09,0
2026-02-05T18:26:23.336Z,3,20.44,0
2026-02-05T18:26:23.387Z,3,20.02,0
2026-02-05T18:26:23.437Z,3,20.31,0
2026-02-05T18:26:23.488Z,3,19.97,0
2026-02-05T18:26:23.538Z,3,20.26,0
2026-02-05T18:26:23.587Z,3,20.50,0
2026-02-05T18:26:23.638Z,3,20.39,0
2026-02-05T18:26:23.689Z,4,20.36,0
2026-02-05T18:26:23.795Z,4,NaN,0
2026-02-05T18:26:23.844Z,7,20.85,0
2026-02-05T18:26:23.894Z,7,20.13,0
2026-02-05T18:26:23.944Z,6,20.55,0
2026-02-05T18:26:23.994Z,6,20.29,0
2026-02-05T18:26:24.045Z,6,20.32,0
2026-02-05T18:26:24.095Z,7,20.52,0
2026-02-05T18:26:24.146Z,7,20.26,0
2026-02-05T18:26:24.196Z,7,20.52,0
2026-02-05T18:26:24.247Z,7,20.48,0
2026-02-05T18:26:24.296Z,7,20.39,0
2026-02-05T18:26:24.347Z,6,20.19,0
2026-02-05T18:26:24.398Z,6,20.52,0
2026-02-05T18:26:24.448Z,6,19.86,0
2026-02-05T18:26:24.499Z,6,20.37,0
2026-02-05T18:26:24.550Z,6,20.65,0
2026-02-05T18:26:24.600Z,6,20.23,0
2026-02-05T18:26:24.650Z,6,20.43,0
2026-02-05T18:26:24.696Z,6,20.14,0
2026-02-05T18:26:24.747Z,6,20.41,0
2026-02-05T18:26:24.796Z,6,19.72,0
2026-02-05T18:26:24.846Z,6,20.32,0
2026-02-05T18:26:24.897Z,6,20.34,0
2026-02-05T18:26:24.989Z,6,82.02,0
2026-02-05T18:26:25.040Z,6,20.31,0
2026-02-05T18:26:25.090Z,5,20.05,0
2026-02-05T18:26:25.140Z,5,20.31,0
2026-02-05T18:26:25.191Z,5,20.52,0
2026-02-05T18:26:25.242Z,6,19.84,0
2026-02-05T18:26:25.292Z,6,20.54,0
2026-02-05T18:26:25.343Z,7,20.18,0
2026-02-05T18:26:25.394Z,7,20.52,0
2026-02-05T18:26:25.444Z,7,20.14,0
2026-02-05T18:26:25.495Z,7,20.39,0
2026-02-05T18:26:25.546Z,8,20.31,0
2026-02-05T18:26:25.596Z,8,20.52,0
2026-02-05T18:26:25.646Z,8,20.00,0
2026-02-05T18:26:25.696Z,7,20.29,0
2026-02-05T18:26:25.747Z,7,20.36,0
2026-02-05T18:26:25.797Z,4,20.32,0
2026-02-05T18:26:25.847Z,4,20.57,0
2026-02-05T18:26:25.897Z,4,20.36,0
2026-02-05T18:26:25.947Z,4,20.04,0
2026-02-05T18:26:25.997Z,4,20.24,0
2026-02-05T18:26:26.048Z,4,20.28,0
2026-02-05T18:26:26.099Z,5,20.23,0
2026-02-05T18:26:26.378Z,6,NaN,0
2026-02-05T18:26:26.428Z,4,20.65,0
2026-02-05T18:26:26.479Z,4,19.52,0
2026-02-05T18:26:26.529Z,4,20.32,0
2026-02-05T18:26:26.579Z,4,20.50,0
2026-02-05T18:26:26.630Z,4,20.21,0
2026-02-05T18:26:26.681Z,4,20.32,0
2026-02-05T18:26:26.732Z,4,20.46,0
2026-02-05T18:26:26.782Z,4,20.32,0
2026-02-05T18:26:26.903Z,4,20.30,0
2026-02-05T18:26:26.953Z,4,20.26,0
2026-02-05T18:26:27.004Z,4,20.31,0
2026-02-05T18:26:27.054Z,4,20.29,0
2026-02-05T18:26:27.105Z,4,20.24,0
2026-02-05T18:26:27.155Z,4,20.37,0
2026-02-05T18:26:27.290Z,4,20.34,0
2026-02-05T18:26:27.340Z,2,20.42,0
2026-02-05T18:26:27.390Z,4,20.46,0
